semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
29;Manoel Borba, Av.;José de Alencar, Rua;E/Git;Veicular;N;S;-8.060502;-34.888369
30;13 de Maio, Rua;Dos Palmares, Rua.;E/Git;Veicular;N;S;-8.052560;-34.883697
31;Hospício, Rua do;Princesa Isabel, Rua;E/Git;Veic.C/Ped.Paral.;N;N;-8.057835;-34.882988
32;Hospício, Rua do;Visc. De Suassuna, AV.;E/Git;Veic.C/Ped.;S;N;-8.055068;-34.882265
33;Hospício, Rua do;Matriz, Rua da;E/Git;Veicular;N;N;-8.062624;-34.885292
34;Norte Miguel Arraes de Alencar, Av.;Cruz Cabugá. Av.;E/Git;Veicular;N;N;-8.047535;-34.876962
35;Dantas Barreto, Av.;Imperial, Rua;E/Git;Veicular;N;N;-8.072249;-34.884146
36;Norte Miguel Arraes de Alencar, Av.;13 de Maio, Rua;E/Git;Veicular;N;N;-8.045910;-34.879089
37;Agamenon Magalhães, Av. Gov.;Rui Barbosa, Av.;E/Git;Veicular;N;N;-8.052422;-34.895758
38;Martin Luther King, Av.;Forum Rodolfo Aureliano, ao lado do;E/Git;Veic.C/Laço Det.;N;N;-8.069418;-34.895270
39;Motocolombó, Rua;Augusto Wanderley, Rua;E/Git;Veicular;N;N;-8.082688;-34.906625
40;Derby, Praça do;Jenner de Souza, Rua;E/Git;Veic.C/Ped.;N;N;-8.057073;-34.900077
41;Príncipe, Rua do;Gervásio Pires, Rua;E/Git;Veicular;N;N;-8.057352;-34.885062
42;Beberibe, Av.;Belém, Estrada de;E/Git;Veic.C/Ped.;N;N;-8.037235;-34.890996
43;Norte Miguel Arraes de Alencar, Av.;João de Barros, Av.;E/Git;Veicular;N;N;-8.038574;-34.892000
44;José Rufino, Av. Dr.;Ipojuca, Rua;E;Veicular;N;N;-8.091724;-34.936071
45;Norte Miguel Arraes de Alencar, Av.;Fernando Cesar, Rua;E/Git;Veicular;N;N;-8.037027;-34.894343
46;Conselheiro Rosa e Silva, Av.;Amélia, Rua;E/Git;Veicular;N;N;-8.045446;-34.897044
47;Conselheiro Rosa e Silva, Av.;Santos Dumont, Av.;E/Git;Veicular;N;N;-8.039546;-34.899408
48;Rui Barbosa, Av.;Amélia, Rua;E/Git;Veicular;N;N;-8.045144;-34.902060
